file,model,nb_tokens,nb_tokens_diff
./results/codegemma_7b/MassRollup_folder.txt,codegemma_7b,96,25
./results/codegemma_7b/MedicalDeviceFailure_cluster.txt,codegemma_7b,54,2
./results/codegemma_7b/MedicalDeviceFailure_folder.txt,codegemma_7b,213,161
./results/codegemma_7b/MetadataTest_cluster.txt,codegemma_7b,59,-42
./results/codegemma_7b/MetadataTest_folder.txt,codegemma_7b,59,-42
./results/codegemma_7b/MultiplicityTest_cluster.txt,codegemma_7b,195,152
./results/codegemma_7b/MultiplicityTest_folder.txt,codegemma_7b,174,131
./results/codegemma_7b/OccurrenceTest_cluster.txt,codegemma_7b,134,52
./results/codegemma_7b/OccurrenceTest_folder.txt,codegemma_7b,136,54
./results/codegemma_7b/Packets_cluster.txt,codegemma_7b,189,68
./results/codegemma_7b/Packets_folder.txt,codegemma_7b,199,78
./results/codegemma_7b/PacketUsage_cluster.txt,codegemma_7b,50,2
./results/codegemma_7b/PacketUsage_folder.txt,codegemma_7b,49,1
./results/codegemma_7b/ParameterTest_cluster.txt,codegemma_7b,74,14
./results/codegemma_7b/ParameterTest_folder.txt,codegemma_7b,72,12
./results/codegemma_7b/PartTest_cluster.txt,codegemma_7b,235,108
./results/codegemma_7b/PartTest_folder.txt,codegemma_7b,124,-3
./results/codegemma_7b/PictureTaking_cluster.txt,codegemma_7b,29,-8
./results/codegemma_7b/PictureTaking_folder.txt,codegemma_7b,35,-2
./results/codegemma_7b/PrivateImportTest_cluster.txt,codegemma_7b,99,2
./results/codegemma_7b/PrivateImportTest_folder.txt,codegemma_7b,137,40
./results/codegemma_7b/QualifiedNameImportTest_cluster.txt,codegemma_7b,27,-15
./results/codegemma_7b/QualifiedNameImportTest_folder.txt,codegemma_7b,28,-14
./results/codegemma_7b/RationaleMetadataExample_cluster.txt,codegemma_7b,111,19
./results/codegemma_7b/RationaleMetadataExample_folder.txt,codegemma_7b,72,-20
./results/codegemma_7b/RequirementDerivationExample_cluster.txt,codegemma_7b,55,-51
./results/codegemma_7b/RequirementDerivationExample_folder.txt,codegemma_7b,98,-8
./results/codegemma_7b/RequirementMetadataExample_cluster.txt,codegemma_7b,115,15
./results/codegemma_7b/RequirementMetadataExample_folder.txt,codegemma_7b,218,118
./results/codegemma_7b/RequirementTest_cluster.txt,codegemma_7b,82,-4
./results/codegemma_7b/RequirementTest_folder.txt,codegemma_7b,77,-9
./results/codegemma_7b/RiskMetadataExample_cluster.txt,codegemma_7b,36,-1
./results/codegemma_7b/RiskMetadataExample_folder.txt,codegemma_7b,100,63
./results/codegemma_7b/RoomModel_cluster.txt,codegemma_7b,79,-121
./results/codegemma_7b/RoomModel_folder.txt,codegemma_7b,121,-79
./results/codegemma_7b/RootPackageTest_cluster.txt,codegemma_7b,34,5
./results/codegemma_7b/RootPackageTest_folder.txt,codegemma_7b,41,12
./results/codegemma_7b/ServerSequenceModelOutside_cluster.txt,codegemma_7b,267,190
./results/codegemma_7b/ServerSequenceModelOutside_folder.txt,codegemma_7b,104,27
./results/codegemma_7b/ServerSequenceModel_cluster.txt,codegemma_7b,55,-45
./results/codegemma_7b/ServerSequenceModel_folder.txt,codegemma_7b,49,-51
./results/codegemma_7b/ServerSequenceOutsideRealization-2_cluster.txt,codegemma_7b,278,-24
./results/codegemma_7b/ServerSequenceOutsideRealization-2_folder.txt,codegemma_7b,232,-70
./results/codegemma_7b/ServerSequenceOutsideRealization-3_cluster.txt,codegemma_7b,282,-210
./results/codegemma_7b/ServerSequenceOutsideRealization-3_folder.txt,codegemma_7b,95,-397
./results/codegemma_7b/ServerSequenceRealization-2_cluster.txt,codegemma_7b,121,-175
./results/codegemma_7b/ServerSequenceRealization-2_folder.txt,codegemma_7b,246,-50
./results/codegemma_7b/ServerSequenceRealization-3_cluster.txt,codegemma_7b,162,-274
./results/codegemma_7b/ServerSequenceRealization-3_folder.txt,codegemma_7b,236,-200
./results/codegemma_7b/SimpleQuadcopter_cluster.txt,codegemma_7b,166,-901
./results/codegemma_7b/SimpleQuadcopter_folder.txt,codegemma_7b,150,-917
./results/codegemma_7b/StateTest_cluster.txt,codegemma_7b,88,-28
./results/codegemma_7b/StateTest_folder.txt,codegemma_7b,122,6
./results/codegemma_7b/StructuredControlTest_cluster.txt,codegemma_7b,95,-21
./results/codegemma_7b/StructuredControlTest_folder.txt,codegemma_7b,220,104
./results/codegemma_7b/TextualRepresentationTest_cluster.txt,codegemma_7b,45,-8
./results/codegemma_7b/TextualRepresentationTest_folder.txt,codegemma_7b,51,-2
./results/codegemma_7b/TradeStudyTest_cluster.txt,codegemma_7b,297,247
./results/codegemma_7b/TradeStudyTest_folder.txt,codegemma_7b,71,21
./results/codegemma_7b/Turbojet Stage Analysis_cluster.txt,codegemma_7b,179,-330
./results/codegemma_7b/Turbojet Stage Analysis_folder.txt,codegemma_7b,237,-272
./results/codegemma_7b/UseCaseTest_cluster.txt,codegemma_7b,49,-31
